Sr.No.,Locality,Signal Strength (dBm),Data Throughput (Mbps),Latency (ms),Network Type,BB60C Measurement (dBm),srsRAN Measurement (dBm),BladeRFxA9 Measurement (dBm)
1,Fraser Road,-97.65312098,5.132296384,54.8836057,4G,-95.81079071,-105.4523585,-99.92089157
2,Boring Canal Road,-87.04613368,1.176985004,119.5982862,LTE,-91.59386079,-95.41948203,-87.71406994
3,Danapur,-94.14315859,68.5969323,46.59838702,5G,-90.64277282,-101.8959052,-96.5706979
4,Phulwari Sharif,-94.56476466,38.2920383,30.34282765,5G,-90.48909992,-103.3183035,-95.10246712
5,Bankipore,-91.1960294,1.712595676,190.6828442,LTE,-93.47470691,-97.9575788,-94.19290714
6,Kidwaipuri,-85.65309191,4.03660851,99.88702425,4G,-87.98528177,-90.77001713,-86.18686983
7,Phulwari Sharif,-85.98005248,2.670604991,132.0780065,LTE,-89.11486737,-95.77617677,-85.43469482
8,Gardanibagh,-96.84211831,2.9925074,196.5419351,LTE,-96.25918378,-102.4289366,-98.70987566
9,S.K. Puri,-90.30840684,9.244325886,81.5569313,4G,-87.3602938,-97.79522137,-89.84698353
10,Pataliputra,-88.6353921,1.588897784,138.5097729,LTE,-85.12402539,-97.05078207,-90.61843562
11,Fraser Road,-88.78220352,9.392683868,75.56711994,4G,-88.76704057,-94.79072763,-87.88241994
12,Patliputra Colony,-88.97117004,5.122858603,76.85412136,4G,-90.70465762,-94.83182502,-90.34191254
13,Bailey Road,-98.38707834,13.66559221,44.21842336,5G,-96.35049974,-106.0162092,-100.8000734
14,Rajendra Nagar,-94.69551696,65.64284959,23.4621686,5G,-93.13829061,-102.7685339,-93.60583495
15,S.K. Puri,-103.9383581,79.87716647,23.63214161,5G,-99.6307848,-109.6462943,-104.3643939
16,Kidwaipuri,-94.88228042,2.146875776,163.1837212,LTE,-95.3978252,-103.4162266,-95.91029314
17,Gardanibagh,-89.02013372,3.509341045,91.09300296,4G,-86.95771144,-98.61338981,-91.51110743
18,Anandpuri,-97.53471588,49.100666,20.14728695,5G,-98.48269501,-104.6773508,-96.08887271
